date,location,age_group,value
2021-05-14,DE,00+,473
2021-05-15,DE,00+,460
2021-05-16,DE,00+,489
2021-05-17,DE,00+,327
2021-05-18,DE,00+,492
2021-05-19,DE,00+,583
2021-05-20,DE,00+,543
2021-05-21,DE,00+,408
2021-05-22,DE,00+,397
2021-05-23,DE,00+,250
2021-05-24,DE,00+,131
2021-05-25,DE,00+,161
2021-05-26,DE,00+,305
2021-05-27,DE,00+,403
2021-05-28,DE,00+,287
2021-05-29,DE,00+,267
2021-05-30,DE,00+,190
2021-05-31,DE,00+,108
2021-06-01,DE,00+,197
2021-06-02,DE,00+,247
2021-06-03,DE,00+,208
2021-06-04,DE,00+,149
2021-06-05,DE,00+,133
2021-06-06,DE,00+,130
2021-06-07,DE,00+,80
2021-06-08,DE,00+,137
2021-06-09,DE,00+,180
2021-06-10,DE,00+,142
2021-06-11,DE,00+,133
2021-06-12,DE,00+,108
2021-06-13,DE,00+,61
2021-06-14,DE,00+,49
2021-06-15,DE,00+,99
2021-06-16,DE,00+,101
2021-06-17,DE,00+,93
2021-06-18,DE,00+,79
2021-06-19,DE,00+,70
2021-06-20,DE,00+,57
2021-06-21,DE,00+,29
2021-06-22,DE,00+,69
2021-06-23,DE,00+,80
2021-06-24,DE,00+,62
2021-06-25,DE,00+,56
2021-06-26,DE,00+,46
2021-06-27,DE,00+,37
2021-06-28,DE,00+,17
2021-06-29,DE,00+,49
2021-06-30,DE,00+,63
2021-07-01,DE,00+,57
2021-07-02,DE,00+,63
2021-07-03,DE,00+,45
2021-07-04,DE,00+,27
2021-07-05,DE,00+,17
2021-07-06,DE,00+,58
2021-07-07,DE,00+,68
2021-07-08,DE,00+,53
2021-07-09,DE,00+,48
2021-07-10,DE,00+,67
2021-07-11,DE,00+,54
2021-07-12,DE,00+,17
2021-07-13,DE,00+,62
2021-07-14,DE,00+,76
2021-07-15,DE,00+,69
2021-07-16,DE,00+,51
2021-07-17,DE,00+,69
2021-07-18,DE,00+,52
2021-07-19,DE,00+,36
2021-07-20,DE,00+,96
2021-07-21,DE,00+,99
2021-07-22,DE,00+,100
2021-07-23,DE,00+,89
2021-07-24,DE,00+,99
2021-07-25,DE,00+,75
2021-07-26,DE,00+,30
2021-07-27,DE,00+,85
2021-07-28,DE,00+,160
2021-07-29,DE,00+,149
2021-07-30,DE,00+,117
2021-07-31,DE,00+,137
2021-08-01,DE,00+,83
2021-08-02,DE,00+,59
2021-08-03,DE,00+,159
2021-08-04,DE,00+,183
2021-08-05,DE,00+,152
2021-08-06,DE,00+,159
2021-08-07,DE,00+,166
2021-08-08,DE,00+,124
2021-08-09,DE,00+,68
2021-08-10,DE,00+,206
2021-08-11,DE,00+,286
2021-08-12,DE,00+,280
2021-08-13,DE,00+,284
2021-08-14,DE,00+,276
2021-08-15,DE,00+,205
2021-08-16,DE,00+,144
2021-08-17,DE,00+,333
2021-08-18,DE,00+,421
2021-08-19,DE,00+,394
2021-08-20,DE,00+,378
2021-08-21,DE,00+,357
2021-08-22,DE,00+,276
2021-08-23,DE,00+,207
2021-08-24,DE,00+,479
2021-08-25,DE,00+,609
2021-08-26,DE,00+,553
2021-08-27,DE,00+,486
2021-08-28,DE,00+,467
2021-08-29,DE,00+,383
2021-08-30,DE,00+,232
2021-08-31,DE,00+,451
2021-09-01,DE,00+,644
2021-09-02,DE,00+,557
2021-09-03,DE,00+,514
2021-09-04,DE,00+,513
2021-09-05,DE,00+,376
2021-09-06,DE,00+,235
2021-09-07,DE,00+,474
2021-09-08,DE,00+,642
2021-09-09,DE,00+,567
2021-09-10,DE,00+,548
2021-09-11,DE,00+,516
2021-09-12,DE,00+,357
2021-09-13,DE,00+,211
2021-09-14,DE,00+,462
2021-09-15,DE,00+,539
2021-09-16,DE,00+,510
2021-09-17,DE,00+,436
2021-09-18,DE,00+,414
2021-09-19,DE,00+,287
2021-09-20,DE,00+,154
2021-09-21,DE,00+,378
2021-09-22,DE,00+,462
2021-09-23,DE,00+,436
2021-09-24,DE,00+,429
2021-09-25,DE,00+,377
2021-09-26,DE,00+,253
2021-09-27,DE,00+,153
2021-09-28,DE,00+,396
2021-09-29,DE,00+,558
2021-09-30,DE,00+,467
2021-10-01,DE,00+,370
2021-10-02,DE,00+,368
2021-10-03,DE,00+,252
2021-10-04,DE,00+,145
2021-10-05,DE,00+,351
2021-10-06,DE,00+,467
2021-10-07,DE,00+,470
2021-10-08,DE,00+,421
2021-10-09,DE,00+,442
2021-10-10,DE,00+,308
2021-10-11,DE,00+,173
2021-10-12,DE,00+,445
2021-10-13,DE,00+,535
2021-10-14,DE,00+,490
2021-10-15,DE,00+,520
2021-10-16,DE,00+,496
2021-10-17,DE,00+,352
2021-10-18,DE,00+,234
2021-10-19,DE,00+,667
