forecast_date,target,target_end_date,location,age_group,type,quantile,value,pathogen
2021-07-01,-27 day ahead inc hosp,2021-06-04,DE,60-79,quantile,0.025,433,COVID-19
2021-07-01,-27 day ahead inc hosp,2021-06-04,DE,60-79,quantile,0.1,437,COVID-19
2021-07-01,-27 day ahead inc hosp,2021-06-04,DE,60-79,quantile,0.25,442,COVID-19
2021-07-01,-27 day ahead inc hosp,2021-06-04,DE,60-79,quantile,0.5,449,COVID-19
2021-07-01,-27 day ahead inc hosp,2021-06-04,DE,60-79,quantile,0.75,459,COVID-19
2021-07-01,-27 day ahead inc hosp,2021-06-04,DE,60-79,quantile,0.9,470,COVID-19
2021-07-01,-27 day ahead inc hosp,2021-06-04,DE,60-79,quantile,0.975,487,COVID-19
2021-07-01,-27 day ahead inc hosp,2021-06-04,DE,80+,quantile,0.025,214,COVID-19
2021-07-01,-27 day ahead inc hosp,2021-06-04,DE,80+,quantile,0.1,216,COVID-19
2021-07-01,-27 day ahead inc hosp,2021-06-04,DE,80+,quantile,0.25,217,COVID-19
2021-07-01,-27 day ahead inc hosp,2021-06-04,DE,80+,quantile,0.5,220,COVID-19
2021-07-01,-27 day ahead inc hosp,2021-06-04,DE,80+,quantile,0.75,223,COVID-19
2021-07-01,-27 day ahead inc hosp,2021-06-04,DE,80+,quantile,0.9,226,COVID-19
2021-07-01,-27 day ahead inc hosp,2021-06-04,DE,80+,quantile,0.975,231,COVID-19
2021-07-01,-26 day ahead inc hosp,2021-06-05,DE,00-04,quantile,0.025,21,COVID-19
2021-07-01,-26 day ahead inc hosp,2021-06-05,DE,00-04,quantile,0.1,21,COVID-19
2021-07-01,-26 day ahead inc hosp,2021-06-05,DE,00-04,quantile,0.25,21,COVID-19
2021-07-01,-26 day ahead inc hosp,2021-06-05,DE,00-04,quantile,0.5,21,COVID-19
2021-07-01,-26 day ahead inc hosp,2021-06-05,DE,00-04,quantile,0.75,22,COVID-19
2021-07-01,-26 day ahead inc hosp,2021-06-05,DE,00-04,quantile,0.9,24,COVID-19
2021-07-01,-26 day ahead inc hosp,2021-06-05,DE,00-04,quantile,0.975,26,COVID-19
2021-07-01,-26 day ahead inc hosp,2021-06-05,DE,00+,quantile,0.025,1172,COVID-19
2021-07-01,-26 day ahead inc hosp,2021-06-05,DE,00+,quantile,0.1,1184,COVID-19
2021-07-01,-26 day ahead inc hosp,2021-06-05,DE,00+,quantile,0.25,1196,COVID-19
2021-07-01,-26 day ahead inc hosp,2021-06-05,DE,00+,quantile,0.5,1214,COVID-19
2021-07-01,-26 day ahead inc hosp,2021-06-05,DE,00+,quantile,0.75,1236,COVID-19
2021-07-01,-26 day ahead inc hosp,2021-06-05,DE,00+,quantile,0.9,1262,COVID-19
2021-07-01,-26 day ahead inc hosp,2021-06-05,DE,00+,quantile,0.975,1298,COVID-19
2021-07-01,-26 day ahead inc hosp,2021-06-05,DE,05-14,quantile,0.025,23,COVID-19
2021-07-01,-26 day ahead inc hosp,2021-06-05,DE,05-14,quantile,0.1,23,COVID-19
2021-07-01,-26 day ahead inc hosp,2021-06-05,DE,05-14,quantile,0.25,23,COVID-19
2021-07-01,-26 day ahead inc hosp,2021-06-05,DE,05-14,quantile,0.5,23,COVID-19
2021-07-01,-26 day ahead inc hosp,2021-06-05,DE,05-14,quantile,0.75,26,COVID-19
2021-07-01,-26 day ahead inc hosp,2021-06-05,DE,05-14,quantile,0.9,28,COVID-19
2021-07-01,-26 day ahead inc hosp,2021-06-05,DE,05-14,quantile,0.975,30,COVID-19
2021-07-01,-26 day ahead inc hosp,2021-06-05,DE,15-34,quantile,0.025,146,COVID-19
