location,age_group,date,value
DE-BE,00-04,2020-03-10,0
DE-BE,00-04,2020-03-11,0
DE-BE,05-14,2020-03-06,0
DE-BE,05-14,2020-03-07,0
DE-BE,05-14,2020-03-08,0
DE-BE,05-14,2020-03-09,0
DE-BE,05-14,2020-03-10,0
DE-BE,05-14,2020-03-11,0
DE-BE,15-34,2020-03-06,0
DE-BE,15-34,2020-03-07,0
DE-BE,15-34,2020-03-08,0
DE-BE,15-34,2020-03-09,0
DE-BE,15-34,2020-03-10,0
DE-BE,15-34,2020-03-11,0
DE-BE,35-59,2020-03-06,0
DE-BE,35-59,2020-03-07,0
DE-BE,35-59,2020-03-08,0
DE-BE,35-59,2020-03-09,0
DE-BE,35-59,2020-03-10,2
DE-BE,35-59,2020-03-11,0
DE-BE,60-79,2020-03-06,0
DE-BE,60-79,2020-03-07,0
DE-BE,60-79,2020-03-08,0
DE-BE,60-79,2020-03-09,0
DE-BE,60-79,2020-03-10,1
DE-BE,60-79,2020-03-11,1
DE-BE,80+,2020-03-06,0
DE-BE,80+,2020-03-07,0
DE-BE,80+,2020-03-08,0
DE-BE,80+,2020-03-09,0
DE-BE,80+,2020-03-10,0
DE-BE,80+,2020-03-11,0
DE-BW,00+,2020-03-06,7
DE-BW,00+,2020-03-07,6
DE-BW,00+,2020-03-08,5
DE-BW,00+,2020-03-09,2
DE-BW,00+,2020-03-10,6
DE-BW,00+,2020-03-11,7
DE-BW,00-04,2020-03-06,0
DE-BW,00-04,2020-03-07,0
DE-BW,00-04,2020-03-08,0
DE-BW,00-04,2020-03-09,0
DE-BW,00-04,2020-03-10,0
DE-BW,00-04,2020-03-11,0
DE-BW,05-14,2020-03-06,0
DE-BW,05-14,2020-03-07,0
DE-BW,05-14,2020-03-08,0
DE-BW,05-14,2020-03-09,0
DE-BW,05-14,2020-03-10,0
DE-BW,05-14,2020-03-11,0
DE-BW,15-34,2020-03-06,1
DE-BW,15-34,2020-03-07,0
DE-BW,15-34,2020-03-08,0
DE-BW,15-34,2020-03-09,0
DE-BW,15-34,2020-03-10,0
DE-BW,15-34,2020-03-11,0
DE-BW,35-59,2020-03-06,6
DE-BW,35-59,2020-03-07,1
DE-BW,35-59,2020-03-08,2
DE-BW,35-59,2020-03-09,2
DE-BW,35-59,2020-03-10,3
DE-BW,35-59,2020-03-11,5
DE-BW,60-79,2020-03-06,0
DE-BW,60-79,2020-03-07,2
DE-BW,60-79,2020-03-08,3
DE-BW,60-79,2020-03-09,0
DE-BW,60-79,2020-03-10,1
DE-BW,60-79,2020-03-11,2
DE-BW,80+,2020-03-06,0
DE-BW,80+,2020-03-07,3
DE-BW,80+,2020-03-08,0
DE-BW,80+,2020-03-09,0
DE-BW,80+,2020-03-10,2
DE-BW,80+,2020-03-11,0
DE-BY,00+,2020-03-06,8
DE-BY,00+,2020-03-07,28
DE-BY,00+,2020-03-08,4
DE-BY,00+,2020-03-09,2
DE-BY,00+,2020-03-10,6
DE-BY,00+,2020-03-11,17
DE-BY,00-04,2020-03-06,0
DE-BY,00-04,2020-03-07,1
DE-BY,00-04,2020-03-08,0
DE-BY,00-04,2020-03-09,0
DE-BY,00-04,2020-03-10,0
DE-BY,00-04,2020-03-11,0
DE-BY,05-14,2020-03-06,0
DE-BY,05-14,2020-03-07,3
DE-BY,05-14,2020-03-08,0
DE-BY,05-14,2020-03-09,0
DE-BY,05-14,2020-03-10,0
DE-BY,05-14,2020-03-11,1
DE-BY,15-34,2020-03-06,2
DE-BY,15-34,2020-03-07,7
DE-BY,15-34,2020-03-08,3
DE-BY,15-34,2020-03-09,0
DE-BY,15-34,2020-03-10,1
DE-BY,15-34,2020-03-11,5
DE-BY,35-59,2020-03-06,4
DE-BY,35-59,2020-03-07,14
DE-BY,35-59,2020-03-08,1
DE-BY,35-59,2020-03-09,2
DE-BY,35-59,2020-03-10,2
DE-BY,35-59,2020-03-11,6
DE-BY,60-79,2020-03-06,1
DE-BY,60-79,2020-03-07,2
DE-BY,60-79,2020-03-08,0
DE-BY,60-79,2020-03-09,0
DE-BY,60-79,2020-03-10,3
DE-BY,60-79,2020-03-11,1
DE-BY,80+,2020-03-06,1
DE-BY,80+,2020-03-07,1
DE-BY,80+,2020-03-08,0
DE-BY,80+,2020-03-09,0
DE-BY,80+,2020-03-10,0
DE-BY,80+,2020-03-11,4
DE-HB,00+,2020-03-06,0
DE-HB,00+,2020-03-07,0
