date,location,age_group,value
2020-11-27,GM14,00-04,2
2020-11-27,GM14,00+,196
2020-11-27,GM14,05-14,3
2020-11-27,GM14,15-34,15
2020-11-27,GM14,35-59,46
2020-11-27,GM14,60-79,64
2020-11-27,GM14,80+,66
2020-11-27,GM15,00-04,1
2020-11-27,GM15,00+,220
2020-11-27,GM15,05-14,2
2020-11-27,GM15,15-34,6
2020-11-27,GM15,35-59,32
2020-11-27,GM15,60-79,86
2020-11-27,GM15,80+,93
2020-11-26,GM,00-04,66
2020-11-26,GM,00+,8228
2020-11-26,GM,05-14,65
2020-11-26,GM,15-34,585
2020-11-26,GM,35-59,1692
2020-11-26,GM,60-79,2875
2020-11-26,GM,80+,2945
2020-11-26,GM10,00-04,0
2020-11-26,GM10,00+,87
2020-11-26,GM10,05-14,2
2020-11-26,GM10,15-34,8
2020-11-26,GM10,35-59,25
2020-11-26,GM10,60-79,34
2020-11-26,GM10,80+,18
2020-11-26,GM04,00-04,1
2020-11-26,GM04,00+,127
2020-11-26,GM04,05-14,1
2020-11-26,GM04,15-34,4
2020-11-26,GM04,35-59,31
2020-11-26,GM04,60-79,40
2020-11-26,GM04,80+,50
2020-11-26,GM06,00-04,5
2020-11-26,GM06,00+,377
2020-11-26,GM06,05-14,1
2020-11-26,GM06,15-34,34
2020-11-26,GM06,35-59,97
2020-11-26,GM06,60-79,116
2020-11-26,GM06,80+,124
2020-11-26,GM03,00-04,0
2020-11-26,GM03,00+,76
2020-11-26,GM03,05-14,0
2020-11-26,GM03,15-34,5
2020-11-26,GM03,35-59,24
2020-11-26,GM03,60-79,23
2020-11-26,GM03,80+,24
2020-11-26,GM07,00-04,14
2020-11-26,GM07,00+,1870
2020-11-26,GM07,05-14,21
2020-11-26,GM07,15-34,155
2020-11-26,GM07,35-59,442
2020-11-26,GM07,60-79,672
2020-11-26,GM07,80+,566
2020-11-26,GM05,00-04,10
2020-11-26,GM05,00+,826
2020-11-26,GM05,05-14,4
2020-11-26,GM05,15-34,79
