model,target_type,target_end_date,location,age_group,pathogen,mean,q0.025,q0.1,q0.25,q0.5,q0.75,q0.9,q0.975
RKI-weekly_report,hosp,2021-09-19,DE,00+,COVID-19,2733.0,2677.0,,,,,,2797.0
RKI-weekly_report,hosp,2021-09-20,DE,00+,COVID-19,2672.0,2608.0,,,,,,2743.0
RKI-weekly_report,hosp,2021-09-21,DE,00+,COVID-19,2611.0,2553.0,,,,,,2674.0
RKI-weekly_report,hosp,2021-09-22,DE,00+,COVID-19,2566.0,2522.0,,,,,,2622.0
RKI-weekly_report,hosp,2021-09-23,DE,00+,COVID-19,2571.0,2522.0,,,,,,2616.0
RKI-weekly_report,hosp,2021-09-24,DE,00+,COVID-19,2559.0,2499.0,,,,,,2611.0
RKI-weekly_report,hosp,2021-09-25,DE,00+,COVID-19,2532.0,2484.0,,,,,,2593.0
RKI-weekly_report,hosp,2021-09-26,DE,00+,COVID-19,2540.0,2490.0,,,,,,2611.0
RKI-weekly_report,hosp,2021-09-27,DE,00+,COVID-19,2575.0,2504.0,,,,,,2668.0
RKI-weekly_report,hosp,2021-09-28,DE,00+,COVID-19,2656.0,2559.0,,,,,,2754.0
RKI-weekly_report,hosp,2021-09-29,DE,00+,COVID-19,2696.0,2608.0,,,,,,2783.0
RKI-weekly_report,hosp,2021-09-30,DE,00+,COVID-19,2663.0,2576.0,,,,,,2754.0
RKI-weekly_report,hosp,2021-10-01,DE,00+,COVID-19,2658.0,2576.0,,,,,,2749.0
RKI-weekly_report,hosp,2021-10-02,DE,00+,COVID-19,2669.0,2585.0,,,,,,2760.0
RKI-weekly_report,hosp,2021-10-03,DE,00+,COVID-19,2678.0,2585.0,,,,,,2766.0
RKI-weekly_report,hosp,2021-10-04,DE,00+,COVID-19,2673.0,2555.0,,,,,,2766.0
RKI-weekly_report,hosp,2021-10-05,DE,00+,COVID-19,2621.0,2522.0,,,,,,2737.0
RKI-weekly_report,hosp,2021-10-06,DE,00+,COVID-19,2628.0,2524.0,,,,,,2760.0
RKI-weekly_report,hosp,2021-10-07,DE,00+,COVID-19,2700.0,2556.0,,,,,,2858.0
RKI-weekly_report,hosp,2021-10-08,DE,00+,COVID-19,2800.0,2641.0,,,,,,2961.0
RKI-weekly_report,hosp,2021-10-09,DE,00+,COVID-19,2871.0,2734.0,,,,,,3016.0
testteam-testmodel,hosp,2021-09-19,DE,00+,COVID-19,2759.0,1681.0,2001.0,2320.0,2713.0,3147.0,3576.0,4098.0
testteam-testmodel,hosp,2021-09-19,DE,00-04,COVID-19,78.0,44.0,54.0,64.0,76.0,90.0,103.0,120.0
testteam-testmodel,hosp,2021-09-19,DE,05-14,COVID-19,51.0,28.0,35.0,42.0,50.0,60.0,69.0,81.0
testteam-testmodel,hosp,2021-09-19,DE,15-34,COVID-19,450.0,271.0,324.0,377.0,443.0,515.0,586.0,673.0
testteam-testmodel,hosp,2021-09-19,DE,35-59,COVID-19,978.0,593.0,707.0,821.0,961.0,1116.0,1269.0,1455.0
testteam-testmodel,hosp,2021-09-19,DE,60-79,COVID-19,648.0,392.0,468.0,544.0,637.0,741.0,843.0,967.0
testteam-testmodel,hosp,2021-09-19,DE,80+,COVID-19,536.0,323.0,386.0,449.0,527.0,612.0,697.0,800.0
testteam-testmodel,hosp,2021-09-20,DE,00+,COVID-19,2700.0,1645.0,1958.0,2270.0,2655.0,3080.0,3499.0,4010.0
testteam-testmodel,hosp,2021-09-20,DE,00-04,COVID-19,78.0,44.0,54.0,64.0,76.0,90.0,103.0,120.0
testteam-testmodel,hosp,2021-09-20,DE,05-14,COVID-19,52.0,29.0,36.0,43.0,51.0,61.0,71.0,82.0
testteam-testmodel,hosp,2021-09-20,DE,15-34,COVID-19,437.0,263.0,314.0,366.0,429.0,499.0,568.0,652.0
testteam-testmodel,hosp,2021-09-20,DE,35-59,COVID-19,951.0,577.0,688.0,799.0,935.0,1086.0,1235.0,1416.0
testteam-testmodel,hosp,2021-09-20,DE,60-79,COVID-19,632.0,382.0,456.0,530.0,621.0,722.0,822.0,943.0
testteam-testmodel,hosp,2021-09-20,DE,80+,COVID-19,533.0,321.0,384.0,447.0,524.0,609.0,693.0,795.0
testteam-testmodel,hosp,2021-09-21,DE,00+,COVID-19,2628.0,1601.0,1906.0,2210.0,2584.0,2998.0,3407.0,3904.0
testteam-testmodel,hosp,2021-09-21,DE,00-04,COVID-19,75.0,42.0,52.0,61.0,73.0,86.0,99.0,115.0
testteam-testmodel,hosp,2021-09-21,DE,05-14,COVID-19,51.0,28.0,35.0,42.0,50.0,60.0,69.0,81.0
testteam-testmodel,hosp,2021-09-21,DE,15-34,COVID-19,426.0,256.0,306.0,357.0,418.0,487.0,554.0,636.0
testteam-testmodel,hosp,2021-09-21,DE,35-59,COVID-19,888.0,538.0,642.0,745.0,873.0,1014.0,1153.0,1322.0
testteam-testmodel,hosp,2021-09-21,DE,60-79,COVID-19,650.0,393.0,470.0,546.0,639.0,743.0,845.0,970.0
testteam-testmodel,hosp,2021-09-21,DE,80+,COVID-19,522.0,315.0,376.0,438.0,513.0,597.0,679.0,779.0
testteam-testmodel,hosp,2021-09-22,DE,00+,COVID-19,2559.0,1559.0,1856.0,2152.0,2516.0,2919.0,3317.0,3801.0
testteam-testmodel,hosp,2021-09-22,DE,00-04,COVID-19,70.0,39.0,49.0,58.0,69.0,82.0,94.0,109.0
testteam-testmodel,hosp,2021-09-22,DE,05-14,COVID-19,57.0,31.0,39.0,46.0,55.0,66.0,76.0,88.0
testteam-testmodel,hosp,2021-09-22,DE,15-34,COVID-19,405.0,244.0,291.0,339.0,398.0,463.0,527.0,606.0
testteam-testmodel,hosp,2021-09-22,DE,35-59,COVID-19,860.0,522.0,622.0,722.0,846.0,983.0,1117.0,1281.0
testteam-testmodel,hosp,2021-09-22,DE,60-79,COVID-19,676.0,409.0,488.0,567.0,664.0,772.0,878.0,1007.0
testteam-testmodel,hosp,2021-09-22,DE,80+,COVID-19,474.0,286.0,342.0,397.0,466.0,542.0,617.0,708.0
testteam-testmodel,hosp,2021-09-23,DE,00+,COVID-19,2490.0,1517.0,1806.0,2094.0,2449.0,2841.0,3228.0,3699.0
testteam-testmodel,hosp,2021-09-23,DE,00-04,COVID-19,72.0,41.0,50.0,59.0,71.0,84.0,97.0,112.0
testteam-testmodel,hosp,2021-09-23,DE,05-14,COVID-19,58.0,32.0,39.0,47.0,56.0,67.0,77.0,90.0
testteam-testmodel,hosp,2021-09-23,DE,15-34,COVID-19,394.0,237.0,284.0,330.0,387.0,451.0,513.0,589.0
testteam-testmodel,hosp,2021-09-23,DE,35-59,COVID-19,816.0,495.0,590.0,685.0,802.0,932.0,1060.0,1215.0
testteam-testmodel,hosp,2021-09-23,DE,60-79,COVID-19,679.0,411.0,490.0,570.0,667.0,775.0,882.0,1012.0
testteam-testmodel,hosp,2021-09-23,DE,80+,COVID-19,455.0,274.0,328.0,382.0,448.0,521.0,593.0,680.0
testteam-testmodel,hosp,2021-09-24,DE,00+,COVID-19,2489.0,1517.0,1805.0,2093.0,2448.0,2840.0,3227.0,3698.0
testteam-testmodel,hosp,2021-09-24,DE,00-04,COVID-19,75.0,42.0,52.0,61.0,73.0,86.0,99.0,115.0
testteam-testmodel,hosp,2021-09-24,DE,05-14,COVID-19,61.0,33.0,41.0,49.0,59.0,70.0,81.0,94.0
testteam-testmodel,hosp,2021-09-24,DE,15-34,COVID-19,399.0,240.0,287.0,334.0,392.0,456.0,520.0,597.0
testteam-testmodel,hosp,2021-09-24,DE,35-59,COVID-19,818.0,496.0,591.0,687.0,804.0,934.0,1062.0,1218.0
testteam-testmodel,hosp,2021-09-24,DE,60-79,COVID-19,653.0,395.0,472.0,548.0,642.0,747.0,849.0,974.0
testteam-testmodel,hosp,2021-09-24,DE,80+,COVID-19,468.0,282.0,337.0,392.0,460.0,535.0,609.0,699.0
testteam-testmodel,hosp,2021-09-25,DE,00+,COVID-19,2463.0,1500.0,1786.0,2071.0,2422.0,2810.0,3193.0,3658.0
testteam-testmodel,hosp,2021-09-25,DE,00-04,COVID-19,77.0,43.0,53.0,63.0,75.0,89.0,102.0,118.0
testteam-testmodel,hosp,2021-09-25,DE,05-14,COVID-19,56.0,30.0,38.0,45.0,54.0,65.0,75.0,87.0
testteam-testmodel,hosp,2021-09-25,DE,15-34,COVID-19,390.0,234.0,281.0,327.0,383.0,446.0,508.0,584.0
testteam-testmodel,hosp,2021-09-25,DE,35-59,COVID-19,832.0,504.0,602.0,699.0,818.0,950.0,1081.0,1239.0
testteam-testmodel,hosp,2021-09-25,DE,60-79,COVID-19,637.0,385.0,460.0,535.0,626.0,728.0,828.0,950.0
testteam-testmodel,hosp,2021-09-25,DE,80+,COVID-19,455.0,274.0,328.0,382.0,448.0,521.0,593.0,680.0
testteam-testmodel,hosp,2021-09-26,DE,00+,COVID-19,2429.0,1480.0,1761.0,2043.0,2389.0,2772.0,3149.0,3608.0
testteam-testmodel,hosp,2021-09-26,DE,00-04,COVID-19,75.0,42.0,52.0,61.0,73.0,86.0,99.0,115.0
testteam-testmodel,hosp,2021-09-26,DE,05-14,COVID-19,53.0,29.0,36.0,44.0,52.0,62.0,72.0,84.0
testteam-testmodel,hosp,2021-09-26,DE,15-34,COVID-19,380.0,228.0,273.0,318.0,374.0,435.0,495.0,569.0
testteam-testmodel,hosp,2021-09-26,DE,35-59,COVID-19,800.0,485.0,578.0,671.0,786.0,914.0,1039.0,1191.0
testteam-testmodel,hosp,2021-09-26,DE,60-79,COVID-19,636.0,385.0,459.0,534.0,625.0,727.0,827.0,949.0
testteam-testmodel,hosp,2021-09-26,DE,80+,COVID-19,470.0,283.0,339.0,394.0,462.0,537.0,612.0,702.0
testteam-testmodel,hosp,2021-09-27,DE,00+,COVID-19,2430.0,1480.0,1762.0,2043.0,2390.0,2773.0,3150.0,3610.0
testteam-testmodel,hosp,2021-09-27,DE,00-04,COVID-19,73.0,41.0,51.0,60.0,72.0,85.0,98.0,114.0
testteam-testmodel,hosp,2021-09-27,DE,05-14,COVID-19,57.0,31.0,39.0,46.0,55.0,66.0,76.0,88.0
testteam-testmodel,hosp,2021-09-27,DE,15-34,COVID-19,377.0,227.0,271.0,316.0,371.0,432.0,492.0,565.0
testteam-testmodel,hosp,2021-09-27,DE,35-59,COVID-19,796.0,482.0,575.0,668.0,782.0,909.0,1034.0,1185.0
testteam-testmodel,hosp,2021-09-27,DE,60-79,COVID-19,639.0,387.0,462.0,536.0,628.0,730.0,831.0,953.0
testteam-testmodel,hosp,2021-09-27,DE,80+,COVID-19,473.0,285.0,341.0,396.0,465.0,541.0,616.0,707.0
testteam-testmodel,hosp,2021-09-28,DE,00+,COVID-19,2449.0,1492.0,1776.0,2060.0,2409.0,2795.0,3175.0,3639.0
testteam-testmodel,hosp,2021-09-28,DE,00-04,COVID-19,70.0,39.0,49.0,58.0,69.0,82.0,94.0,109.0
testteam-testmodel,hosp,2021-09-28,DE,05-14,COVID-19,58.0,32.0,39.0,47.0,56.0,67.0,77.0,90.0
testteam-testmodel,hosp,2021-09-28,DE,15-34,COVID-19,373.0,224.0,268.0,313.0,367.0,427.0,486.0,559.0
testteam-testmodel,hosp,2021-09-28,DE,35-59,COVID-19,801.0,485.0,579.0,672.0,787.0,915.0,1040.0,1193.0
testteam-testmodel,hosp,2021-09-28,DE,60-79,COVID-19,634.0,384.0,458.0,532.0,623.0,725.0,824.0,946.0
testteam-testmodel,hosp,2021-09-28,DE,80+,COVID-19,499.0,301.0,360.0,418.0,491.0,571.0,649.0,745.0
